Title,Title_URL,Rating,Date,Position,Status,Location,View7,View8,View9,View10,helpfulness
"Great experience, company really cares about its employees and customers.",https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW72405243.htm,5.0,"Jan 7, 2023",Anonymous Employee,"Current Employee, more than 5 years","Salt Lake City, UT",Pros,"Great benefits, company is always improving things",Cons,"Big company, you can get lost or have to wait for promotions",
Amazing place to be comfortable,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW72398180.htm,5.0,"Jan 6, 2023",Planning Consultant,"Current Employee, more than 3 years","Chicago, IL",Pros,"Planning consultants have great work life balance, great compensation. Best job I've ever had.",Cons,NOT A PRODUCING ROLE! If you are looking to be comfortable PC is the way to go,
Abby J for President.,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW66623260.htm,5.0,"Jul 12, 2022",Workplace Planning Consultant II,"Current Employee, more than 3 years","Salt Lake City, UT",Pros,"Casually getting a 10% base bump recently and bonus payouts through the roof? They said this day would come, but here we are. Paying us to not only stay, but bring in top talent. 

Thanks Abby J. Really though. I make an impact every day. Nothing means more if you're honest with yourself. Always doing what's best for the client. If you work hard, you will be compensated.",Cons,One bad manager out of the 4 others that truly changed the trajectory of my life. Still keep in touch with previous managers. It takes you by surprise when you get a mediocre leader because the bar is set so high. Crush it and you'll be out in no time. Not a place for entitled individuals or those who don't work hard.,
Great Company,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW73227107.htm,5.0,"Feb 1, 2023",Customer Relationship Advocate,"Current Employee, less than 1 year","Smithfield, RI",Pros,"Pay, Benefits, Training for licensing",Cons,None I can think of,
Good employer,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW72956493.htm,5.0,"Jan 24, 2023",Vice President,"Current Employee, more than 8 years",,Pros,Great employee benefits; financially sound company,Cons,Manage by consensus which holds back some innovation,
Career,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW70219607.htm,4.0,"Oct 17, 2022",Managing Director,"Current Employee, more than 3 years","Jacksonville, FL",Pros,"Plenty of avenues to pursue career wise, lots of upward potential, and great support system generally speaking.",Cons,"Compensation does not feel true to market. They also sell promotions and job changes on ""potential"" instead of compensation. I recently capped out the current path, and had limited options of what to pursue next. I had to accept the ""potential"" sales pitch, and took a hefty pay cut. They would not even match current income with the job change even though it was discussed as a ""destination role"" and promotion.",
Great Training,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW72045398.htm,5.0,"Dec 21, 2022",Client Service Associate,"Current Employee, more than 1 year","Westlake, TX",Pros,*This company will give you great client services training applicable to all financial service roles! You can learn so much here in terms of financial education that you can get branch to many different roles and companies in finance.,Cons,They run a tight ship.,
Strong Program,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW72166146.htm,5.0,"Dec 28, 2022",Research Associate,"Former Employee, more than 3 years","Boston, MA",Pros,"Good training and exposure in investment research for recent college grads, coupled with strong branding. Some asset classes offer strong performers upward mobility and chance to get promoted to career-track analyst roles.",Cons,Nothing comes to mind at the moment.,
Not Like It Used To Be,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW70304808.htm,3.0,"Oct 19, 2022",Senior Executive Assistant,"Current Employee, more than 8 years",,Pros,"You were proud to say you worked at Fidelity - still am. However, it's not the same company. You felt valued and appreciated. Not any more.",Cons,"Constantly finding ways to reduce salaries. Never have experienced a company that often offers early retirement so they can weed out the older generation for the younger, less experience and inexpensive talent. If you're an older employee and decline the early retirement you will eventually be laid off. Not the same company since Bob Reynolds left.",
Lack diversity,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW74327300.htm,1.0,"Mar 8, 2023",Financial Consultant,Current Employee,,Pros,Flexibility Close to home Good training program,Cons,Stressful Unfriendly Over worked Lack diversity,1
SaFe Scrum Master,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW72532984.htm,5.0,"Jan 11, 2023",Project Manager/Scrum Master,Current Employee,,Pros,Great company to work with and i learnt alot from them,Cons,They still need to improve on their staffing situation.,
Under the Veil,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW56356469.htm,2.0,"Dec 7, 2021",Workplace Planning Consultant II,"Former Employee, more than 3 years","Jacksonville, FL",Pros,"Learn Finance, Good starter Job, Updated Offices",Cons,"Fidelity leaders grind their workers to no end (you will be burnt out quick). Plan on taking 70-100 calls a day.

No work/life balance. Fidelity preaches Work/Life Balance while also requiring you to work mandatory overtime the second you get licensed. 

Benefits are only good if you stay with firm long term (Schwab's 401k vest starting day 1, Fidelity requires you to stay for 5 year). 

Pay is lowest amongst other firms. 

You can be most talented candidate for promotion, but if you don't fit the firms ""Diversity and Inclusion"" efforts.... a less qualified or not qualified candidate will fill the promotion (If you are a white male good luck).",8
Overall a good conpany,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW70766562.htm,5.0,"Nov 3, 2022",Customer Relationship Advocate,"Current Employee, more than 1 year","Jacksonville, FL",Pros,"Not a difficult job, once you get the hang of it, and depending on your manager, they are usually very supportive.",Cons,"Pay seems lower than the rest of the industry, and they try to make up for it with ""company culture"". I would prefer less free snacks and more in my paycheck.",1
Bad management and performative diversity and inclusion,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW66517930.htm,3.0,"Jul 10, 2022",Systems Analyst,"Current Employee, more than 5 years",,Pros,"401K match 
Paid time off 
Flexible schedule when needed
Emphasis on growth and development",Cons,"Pay is lower than industry standards 
Promotions and pay increases are on a strict yearly cycle that is difficult to get around 
Promotions are unfairly awarded across BUs, which leads to frustration 
Bad management at all levels and you aren't able to do anything to change it 
Employee Relations does nothing for women who open up issues regarding discrimination and unfair treatment 
They say they are all about diversity and inclusion, but are horrible to people with disabilities 
Benefits are geared towards families and do not take in account those who don't have families/significant others
No separate sick time
Often feels as if upper management is completely disconnected from the reality of those below them",4
Great place to work,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW72893005.htm,5.0,"Jan 23, 2023",Anonymous Employee,Current Employee,,Pros,"Benefits, pay, and work environment",Cons,none that I can think of,
Position in Flux,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW73271624.htm,1.0,"Feb 2, 2023",Investment Solutions Representative,Current Employee,,Pros,Great colleagues. Gain with bonds/fixed income.,Cons,This position is in a major transition and it's a bit of a nightmare.,4
Great flexible working environment,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW71876745.htm,5.0,"Dec 14, 2022",Security Officer,"Former Employee, more than 1 year","Covington, KY",Pros,"the welcoming staff, seriously everyone is great. They were always willing to lend a hand. great employee perks/ events loved this place",Cons,have to get used to the 12-hour shifts. but you learn how to manage it/ prepare for the day,
None Inclusive,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW66550785.htm,2.0,"Jul 11, 2022",Client Management,"Former Employee, more than 1 year","Westlake, TX",Pros,Excellent co-workers who are highly knowledgeable and are always willing to help. This extends over to the training staff as well who are always available to answer questions.,Cons,The company claims to be inclusive unless you're a Christian and communicates that to clients. The group is a very upward moving unit but the management staff isn't always up to the challenge and most have no experience working with advisory services as an associate and therefore have no idea how the job is done.,
Great company,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW72810133.htm,5.0,"Jan 19, 2023",Premium Services Representative,Current Employee,,Pros,Pay is great Vacation day Health Advancement,Cons,Nothing it is a great company,
Great Culture!,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW72322067.htm,5.0,"Jan 4, 2023",FFIO Associate,"Current Employee, more than 1 year","Merrimack, NH",Pros,The benefits are very good! I love my team and manager. Asking questions and learning is encouraged. There is lots of room for mobility.,Cons,The base pay is low.,
Great company,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW71506574.htm,5.0,"Nov 30, 2022",Customer Relationship Advocate,"Current Employee, more than 1 year","Jacksonville, FL",Pros,They invest in your development and want you to grow and succeed,Cons,Still required to come into the office. Most positions are not fully remote.,
"Great People, Great Benefits",https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW67610380.htm,4.0,"Aug 6, 2022",Investment Solutions Representative,"Former Employee, more than 1 year","American Fork, UT",Pros,"- best of the best benefits (highest 401k match I’ve heard of, inexpensive yet comprehensive health care plans, etc) - Vast majority of people I worked with are amazing and great to work with - onboarding as someone coming from outside the financial services industry, they spend a lot of time and resources to make you successful and knowledgeable",Cons,"- most positions are in a call center (though at least in bound) - if you’re not into performance driven everything then think twice. I mean, most of your standing and benefits and top pick for desirable shifts will be dependent on how you perform in reference to your peers. If you don’t mind it, this may actually be a pro",1
So far so good,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW67852426.htm,4.0,"Aug 12, 2022",Associate Software Engineer,"Current Employee, less than 1 year","Durham, NC",Pros,"I'm fresh blood, but all of my manager have been with the company for 10+ years. Several rode out the '08 recession and had multiple different careers within the company over that span. My role doesn't officially begin until October, so right now I'm in the LEAP training program. I would highly recommend LEAP to anyone starting out in software development because there is a strong culture of internal development and where else are you going to get 18 of dedicated job training prior to joining your team? Not to mention, the benefits are pretty great and hybrid working is the greatest.",Cons,I didn't get any relocation assistance and there are rumors about losing free lunch soon.,
Inconsistent,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW73017875.htm,3.0,"Jan 26, 2023",Anonymous Employee,Current Employee,,Pros,Benefits Pay (depending on where you are),Cons,Inconsistent management Lack of structure,
Great Company,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW71440685.htm,5.0,"Nov 28, 2022",Associate Software Engineer,"Current Employee, more than 1 year","Westlake, TX",Pros,- Great Benefits - Great Environment - Great WL balance - Great Campus - Stable Employment / No Layoffs,Cons,- Low base salary when compared to other tech positions - Pushing for in office. Unclear on end goal -- 1 week onsite? full time onsite?,
Good place to work but limited growth,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW71748571.htm,3.0,"Dec 9, 2022",Lead Software Engineer,Former Employee,,Pros,"Open culture, interesting work and certain teams are working on very interesting projects. They value the culture of the company a lot and most employees end up staying for many years.",Cons,Limited growth opportunity. Getting a new idea through is difficult.,
Meh,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW71232570.htm,3.0,"Nov 19, 2022",Customer Relationship Advocate,"Current Employee, more than 3 years","Greenwood Village, CO",Pros,"There are some good folks who work here, and my manager is among the best I have ever had.",Cons,"Pay is quite low, taking phone calls for 8 hours per day is soul crushing, hold times can be crazy. It is tough to move out of a phone role. Raises do not match inflation (even before 2022).",1
NOT THE PLACE TO WORK IF YOU ARE A SINGLE PARENT,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW60341813.htm,1.0,"Feb 26, 2022",Customer Relationship Advocate,"Former Employee, less than 1 year","Jacksonville, FL",Pros,Decent pay and sponsorship for licensing.,Cons,"Lack of consideration for single parents who work from home with children. 
If you upset management in any way they will turn their back on you. 
Management should be more considerate and truthful. 
If you use your PTO too soon, but dont go over your limit, they will look to terminate you. 
If you fail the exam one time they will terminate you. 
If you have to take care of your child they will terminate you. 
You put in so much effort and time to study for the Series 7 and if you fail they will look at you badly. 
All in all, if you have a child and are a single parent and think Fidelity will understand if you have to help your child....they WILL NOT and will terminate you if you are a great employee who does their job well.",9
Lack of Diversity & Inclusion,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW72385839.htm,1.0,"Jan 6, 2023",Anonymous Employee,"Former Employee, more than 1 year","Westlake, TX",Pros,"Beautiful campus, amazing cafeteria, great shares.",Cons,The culture is toxic and does not allow promotion for black people. You can literally be the least knowledgeable personal on your team and get promoted as long as you’re white.,4
Depends on team,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW72583946.htm,4.0,"Jan 12, 2023",Senior Software Engineer,"Current Employee, more than 1 year","Raleigh, NC",Pros,Work life balance Learning culture,Cons,Career is determined by quality of manager,1
Fidelity values its employees,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW57157183.htm,4.0,"Dec 28, 2021",Software Developer,"Current Employee, more than 1 year","Westlake, TX",Pros,"* Inclusive culture
* Beautiful campuses
* Values employees (they were willing to locate and provide accommodations for Texas associates and their families who lost power/water when the state froze over for a week)",Cons,"* One size fits all mentality for computers (one of two reasons for the missing star)
* Lack of understanding the needs of test environments in agile development (one of two reasons for the missing star)
* Communication between “tribes”/products",1
Bad job but difficult to rate.,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW67624620.htm,2.0,"Aug 6, 2022",Customer Relationship Advocate,"Former Employee, less than 1 year","Greenwood Village, CO",Pros,"They license you. You will think about this experience in future jobs and feel relief that you no longer work here. This job is probably more attainable than the vast majority of others job in ""finance"".",Cons,"Ultimately the job title is ""Customer Relationship Advocate"", so I can't fault Fidelity for being dishonest in anyway during recruiting. However, if you are a college graduate looking for a job, even if you failed other interviews, do not take this job if you want to enter a job that is A) financial and/or B) analytical.

Firstly, Fidelity will advertise the SIE/S7/S63 as a good way to begin your career and potentially jump to something else later. These licenses are required from a compliance standpoint, that is the only reason they require you to take them. These licenses will not land you a job as an analyst or impress anyone who actually knows what they are. If you are only joining to take these exams, I advise against this.

Close your eyes. Do you want to take phone calls all day every for the foreseeable future, with the only promotions available being other roles where you get a slight pay bump and take phone calls all day? This is your life after finishing licensing, and if you're like me you will be put on a 10-hour shift against your preference. 10 hours all day every day of talking to customers is not going to make you very desirable in any actual finance or analytical job.

This job is 97.5% customer service and 2.5% finance. Some might argue it is not finance at all, the most sophisticated thing you will do on a daily basis is place a stock order for a customer who is too lazy to do it themselves. You will get trainings on concepts that most customers understand through internet articles, or you will be trained on proprietary systems, nothing you can even place on a resume to show you as a desirable candidate for when you will want to leave.

This job is basically an office version of a factory assembly line. The second you finish a call you're onto the next, there is no opportunity to extend to any meaningful project that will help you get out of the perpetual call center. The job is designed to keep you working for them in a call center, they already licensed and trained you so this is most profitable for them. 

The only person I can see who would like this job is someone who worked in call centers in the past and sees this as an upgrade since they can call themselves a licensed broker etc.

For anyone who wishes to have career advancement outside of customer service or potentially their wealth management branch (you will start off a brand new role, continuing to do calls all day every day and maybe after 3-5 years get promoted to a branch), extend your job search and look elsewhere.

Lastly, the reason I put ""difficult to rate"" in the title is because I might seem naive for giving a poor rating to a customer service job since it doesn't offer promotions into analytical or financial jobs. But ultimately I can't give this job a good rating whatsoever because everyday was dreadful; never-ending phone calls with no hope for meaningful advancement.",12
Disappointed after reading all the good hype,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW68560958.htm,2.0,"Aug 31, 2022",Principle Software Engineer,"Current Employee, less than 1 year","Durham, NC",Pros,"The work is extremely easy . They have good benefits 401k and profit share. They have everything at the company that you can think of as far a technology, so lots to learn for entry level people. Has a decent corporate culture that encourages a good attitude and free speech.",Cons,"Fidelity lacks technical leadership as a whole and does not value it! They value attitude over all else which means they hire people they like and contract out technical folks. They are not lean and Agile, lots of bloat and middle managers. The environment is extremely political and they accomplish very little. It's extremely hard to get anything done with all bureaucracy, meetings. Lots of non-technical folks blowing hot air and not enough GOOD developers. 90% of their developers are not employees but contractors and turn over is very high. As far as fulltime employees go, Fidelity hires low-level tech folks who have a good attitude but lack experience which further exuberates and compounds not getting things done. Lots of silos and teams that only care about themselves, Cross team communication is probably the poorest I have ever experienced in my career. To add to it all, folks regularly switch teams and so you lose people you trained and you have to start over again. As a whole, in my opinion, it's not a great environment to write and test code in. Everything is always breaking and getting things fixed takes days not hours while your whole team is idle. This encourages idleness and apathy.",5
Ya,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW72412295.htm,5.0,"Jan 7, 2023",Customer Relationship Advocate,"Current Employee, less than 1 year","Smithfield, RI",Pros,Very good company to work for with a lot of benefits,Cons,The CRA role and the more call center roles are very monotonous,
Pretty good,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW71342210.htm,4.0,"Nov 23, 2022",Wealth Management Service Representative,Current Employee,"Jersey City, NJ",Pros,"Great benefits, work from home positions available, nice people.",Cons,"My position is still being figured out, seems like we're taking on a lot of roles without the extra pay or commission",1
Be prepared to study,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW71728721.htm,4.0,"Dec 8, 2022",Workplace Planning Associate,Former Employee,,Pros,Great culture Supportive management Hybrid model work environment,Cons,Hours of study outside of work hours Licensing is extremely difficult,
"Ok place to work, nothing more or less",https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW71188341.htm,4.0,"Nov 17, 2022",Senior Business Analyst,"Current Employee, more than 3 years",,Pros,"Good work life balance, nice campuses, profit sharing, lots of W4H during Covid.",Cons,"Zero skill development, too many low IQ middle managers, promotions seem to be about kissing up than results",
Great culture and family.,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW72598299.htm,5.0,"Jan 13, 2023","VP, Retirement Director","Current Employee, more than 10 years","Cincinnati, OH",Pros,"Benefits, Development, Leadership, Products and Services",Cons,Can feel very big at times,
Good place to get experience,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW68984144.htm,3.0,"Sep 12, 2022",Investment Consultant,"Current Employee, more than 3 years","Jacksonville, FL",Pros,Decent matching and profit sharing. Good place to start out and gain experience.,Cons,"Low salary. Bonuses seem nice but bear in mind you only get one bonus per quarter, the low paychecks make it hard to save money. Micromanaged call center environment for sure. Company loves identity politics, I think trying to appeal to young employees.",
Ok at best,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW70680070.htm,3.0,"Nov 1, 2022",Client Service Representative,"Current Employee, less than 1 year",,Pros,Culture is good. Breaks are plentiful. Benefits are ok. 401k match is excellent but they make you wait forever to get it.,Cons,"Mediocre pay, stressful work, dealing with customers non stop. It's a call center job.",1
Very Employee Friendly,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW71180559.htm,4.0,"Nov 17, 2022",Stock Plan Consultant,"Former Employee, more than 3 years","Fort Worth, TX",Pros,Great benefits and decent pay. A generous bonus system. They seem to truly care about their employees. There is much emphasis and encouragement on career advancement.,Cons,Some managers push their personal beliefs on people. A very liberal company that can be off-putting to more conservative people. Should not come up at work either way.,
Amazing place to work,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW69610936.htm,5.0,"Sep 29, 2022",Customer Relationship Advocate,"Current Employee, more than 1 year","Salt Lake City, UT",Pros,"Great to start out in the field here Good work culture, not competitive Managers and onboarding leads are very helpful Accommodating - they will help you if you have serious medical issues yourself or a loved one Mostly work from home",Cons,A phone job Part time in-office work,1
"Too much work, not enough pay",https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW71640714.htm,3.0,"Dec 5, 2022",High Net Worth Associate,"Current Employee, less than 1 year","Las Vegas, NV",Pros,Exposure to a a mutual fund company,Cons,They expect you to take care of accounts that don't fall under high net worth so you end up servicing accounts that are no where near the high net worth threshold.,
Competitive Pay but Tremendous Sales Pressure,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW70826087.htm,3.0,"Nov 6, 2022",Financial Consultant,"Current Employee, more than 3 years",,Pros,"Competitive compensation, great benefits, and generally flexible.",Cons,"Ever-increasing sales expectations, Disconnected management, unrealistic expectations, poor work-life balance.",
Rewards newest employees and forgets the loyal employees who have been with the company for years,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW59444799.htm,2.0,"Feb 10, 2022",Anonymous Employee,"Former Employee, more than 8 years",,Pros,"Most benefits are very helpful for many employees e.g. student loan payment assistance, health insurance, etc.",Cons,"They continually reward front line associates and upper management and associates in the middle are forgotten

If you’re in a middle-grade job, even if you’re a top performer and in a money-producing role for the company get ready to be disappointed about raises annually, whereas front-line associates receive multiple lucrative benefits (more bonuses, stock plan benefits, etc) to the point where they are making more than company veterans

Top performers in sales did not get a raise, nor large bonuses, and all the while front line associates are being rewarded MORE!",1
Some good parts,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW69668068.htm,4.0,"Oct 1, 2022",Chapter Leader,"Current Employee, more than 1 year","Durham, NC",Pros,Low stress Good benefits Plenty of PTO Great company overall,Cons,No idea why the base salaries are so low LOTS of communication problems Very slow pace of play So much red tape - it's so huge they have to have a lot of layers and make things difficult to maintain controls but it is absurd and makes everything difficult,
Stressful yet rewarding,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW69220842.htm,4.0,"Sep 19, 2022",Financial Customer Associate,"Current Employee, less than 1 year","Merrimack, NH",Pros,Fidelity offers great benefits and it is rewarding to be able to help customers with their retirement accounts. You will have a great support system with people who want to see you succeed.,Cons,"Extremely stressful job at times. It can be difficult to keep up with the call flow, so you just have to try to focus on the call at hand and not think about the next one. It's definitely not a job for everyone, but a lot of people definitely thrive in this type of position.",
Great Company,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW71871528.htm,5.0,"Dec 14, 2022","Sr. Manager, Participant Services","Current Employee, more than 10 years","Westlake, TX",Pros,Friendly personnel and very supportive,Cons,"Hard to get recognized, have to constantly network",
"Great Company , great culture",https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW71548691.htm,5.0,"Dec 1, 2022",Senior Project Manager,"Current Employee, more than 10 years","Covington, KY",Pros,"Good people, good management, good culture",Cons,"Some entry level jobs may not be great. I did not like the job I started in, but it has led to some great opportunities and am so glad I stuck around.",
Not an expert,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW68663573.htm,3.0,"Sep 2, 2022",Anonymous Employee,"Current Employee, less than 1 year",,Pros,"Benefits, especially the help repaying student loans and paid parental leave. Up to 7 percent match on retirement contributions. The medical premiums cost more than my prior jobs, but other benefits cost a bit less. A lot of reviews on here are complaining about the base pay. For me, it's nearly a 50 percent increase over my old job in a different industry. That's not a raise, that's life changing. There are also opportunities for bonuses. I am going to be allowed to mostly work from home for a lot longer than I was led to believe during the interview process. It's totally okay if we'd rather go ahead and work onsite every day, too.",Cons,"Inconsistent support - my onboarding coach didn't work in my role. They clearly want me to do well and can coach on if I am hitting certain points when interacting with customers, but they have pointedly stated that I'm ""supposed to be the expert"" in my role. When I reach out to my team for help while assisting customers, I only get answers to the questions that aren't part of our specific role. However, I'm not going to be trained in that specific role until at least 4-5 months on the job. I'm willing to stumble blindly through an adventure of learning alongside our customers, but many of them don't have time for that, and me not knowing what I'm doing yet is leading to a poor customer experience for them. The headsets provided for working from home aren't compatible with the onsite phones, so that was an unexpected learning curve. My coach strangely seemed perplexed that I didn't know how to operate the call center equipment already on the first day of calls despite never having seen or used that equipment before. It is extremely difficult for clients to hear me clearly, and often vice versa, due to the background conversations when working onsite. Being able to hear clearly is the top reason I'd like to continue working at home. Some of our customers are intentionally cruel. There are rude customers everywhere, but I've never cried during work every day before.",
Great,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW72492685.htm,5.0,"Jan 10, 2023",Planner,Current Employee,"Dallas, TX",Pros,"Extremely flexible, great work life balance and strong environment",Cons,Communication can sometimes be bad,
"Huge company,  a little dated",https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW68411074.htm,3.0,"Aug 27, 2022",Vice President,"Current Employee, more than 1 year","Boston, MA",Pros,They have a great long-term incentive plan once you're fully vested after 5 years. There is a healthy work life balance.,Cons,"It's a big company, easy to get lost as a number. The compensation strategy is dated, it's hard to recruit top talent. Benefits are average comparatively. The long term incentive retention strategy is a catalyst mediocre performance, particularly managers. Culture doesn't accommodate creative thinkers, doers and decision makers. Very low risk tolerance.",
Not Very Balanced Work/Life,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW63408731.htm,3.0,"Apr 28, 2022",Tax Exempt Representative II,"Former Employee, more than 8 years","Merrimack, NH",Pros,"Multiple types of medical benefits 
401(k) matching 
Nice campus and amenities",Cons,"Toxic grind culture 
Never-ending overtime 
Low career mobility",2
You get what you want based on work ethic,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW71607024.htm,5.0,"Dec 4, 2022",High Net Worth Service Associate,Current Employee,,Pros,You can move up fast if you work hard. Great benefits!,Cons,Expected to be in the same role for at least 1 year whenever you receive a promotion.,
Great place to work,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW71552116.htm,4.0,"Dec 1, 2022",Background Investigator,"Former Employee, less than 1 year",,Pros,Really enjoyed my time at Fidelity. I worked through fidelity talent source and I really wanted to onboard onto the company but it was very difficult. Either way highly recommend great management,Cons,Contracted out with fidelity talent source,
Best place I've ever worked,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW66824493.htm,5.0,"Jul 18, 2022","Director, Martech & Marketing Transformation","Current Employee, less than 1 year","Durham, NC",Pros,"Culture of caring and inclusivity. While I am lucky to be in an amazing workgroup, most people I have come into contact with here have been a pleasure to work with. Lots of longevity as well as lots of new people. It's an exciting time to be part of this firm. Benefits are unbeatable too! Lots of room to move around and learn new things.",Cons,"Very large company, so things can tend to move slowly. Industry is heavily regulated, so you need to be prepared for lots of companies rules.",1
It's a good gig,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW71538383.htm,4.0,"Dec 1, 2022",High Net Worth Service Associate,"Current Employee, less than 1 year",,Pros,"I like it here, remote work is great and comp is fair",Cons,"This is an inbound call role, which isn't for everyone. It's a great stepping stone but repetitive at times",
Great first job out of college,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW70654515.htm,4.0,"Oct 31, 2022",Customer Relationship Advocate,"Current Employee, more than 1 year","Jacksonville, FL",Pros,Incredible experience and knowledge and sets you up for a good second job or promotion.,Cons,Management might not be the best but honestly workable. Only left because found a higher paying job because of the experience I gained at Fidelity Investments.,
Great place,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW72122029.htm,4.0,"Dec 26, 2022",Anonymous Employee,"Current Employee, less than 1 year",,Pros,"Knowledge driven environment, fast paced but rewarding",Cons,Not much to say in the con department,
God and Bad,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW70756850.htm,4.0,"Nov 3, 2022",Relationship Manager,"Current Employee, more than 5 years","Charlotte, NC",Pros,"Flexible work schedule, privately owned, excellent health benefits",Cons,"below average compensation (salary, bonus, commission, etc) The most qualified usually doesn't get the job/promotion. The prettiest or the buddy of hiring manager receive preference over the most qualified/experienced.",
Variable Manager Support/Control,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW69602272.htm,4.0,"Sep 29, 2022",Investment Solutions Representative,Former Employee,"Westlake, TX",Pros,"Good benefits, work life balance, career options",Cons,"While the career paths are plentiful the ladder is rigid. Management gets to decide how long your required to stay in a role. During my time I was told 12 months, but then myself and some colleagues received “exceptions” to move roles earlier. They gave me practically no option but to leave the company when I wasn’t allowed to leave a role I hated early.",1
Great Place to work,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW72053903.htm,5.0,"Dec 21, 2022",Financial Representative,"Current Employee, more than 1 year","Hartford, CT",Pros,Great environment. Great people. Family oriented,Cons,As any other job has cons but nothing major,
